Date,Open,High,Low,Close,Volume
2024-01-01,351.9492811145781,483.6157816292461,462.03715919939964,395.7206416166589,16115
2024-01-02,346.18251854102675,275.02093357326135,487.7273545285559,464.8054947746159,28933
2024-01-03,354.08155279948494,247.60713935456192,354.3541903152877,312.0666555725448,4320
2024-01-04,499.5636168653146,408.7100961120916,279.8172821656865,446.9524412096888,41380
2024-01-05,410.16045971266476,198.04722486241522,266.9217140386388,395.5563323313194,41334
2024-01-06,402.98224210023557,495.9075536001932,111.22119853308585,125.45102569020924,43038
2024-01-07,383.6143819404568,139.08290364027303,492.13763370478694,269.37553879526683,46257
2024-01-08,434.07655131859985,217.85919845707244,176.36586641783438,309.6095124698419,30252
2024-01-09,126.96466292328275,266.81311960262786,160.35279612046781,415.3689187749457,2997
2024-01-10,219.64828109286452,345.2570316560024,356.6477217860118,360.0285618878805,45722
2024-01-11,391.57042216921434,399.32256737836144,242.61716926553765,236.8185163377281,28428
2024-01-12,120.56425467956582,298.6922397116402,253.70978117866642,437.2022441887492,43619
2024-01-13,181.10976414327308,495.2731191918402,301.3152470672471,229.40077326415218,48848
2024-01-14,378.3599905517959,253.93070406035287,310.7603111814826,278.352880710906,19476
2024-01-15,229.77903808200847,181.2770672930436,116.70053142817079,140.78528464424465,44947
2024-01-16,466.2695975031703,415.63339567529374,204.936127994101,357.2928200147413,31312
2024-01-17,171.25314466837827,249.64127724633656,358.78584055037686,278.46853263822084,13877
2024-01-18,344.3772799313369,404.73101933047093,182.2752876277686,322.9836258301396,40507
2024-01-19,422.8012413837392,426.8721337899321,231.4006406813818,250.06732686132267,3775
2024-01-20,221.48870021937415,405.6331019200299,250.28715714744592,411.9496768874826,49633
